Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Revenue_USD,Delay_Minutes,,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption_Liters,CO2_Emissions_kg,Customer_Rating,Customer_Feedback
PK2026_0001,09-06-2026,June,Tuesday,Jeddah,Islamabad,International,Airbus A320,83,120,180,66.67,1140,136800,220,3.67,Severe,Delayed,Clear,6265,15662.5,4.1,Poor service
PK2026_0002,12-08-2026,August,Wednesday,Dubai,Kuala Lumpur,International,Airbus A320,284,179,180,99.44,773,138367,27,,Minor,Delayed,Rain,3516,8790,3.6,Average flight
PK2026_0003,20-04-2026,April,Monday,Doha,Lahore,International,ATR 72,333,69,70,98.57,155,10695,176,,Severe,Delayed,Fog,13538,33845,3,Delayed but comfortable
PK2026_0004,07-12-2026,December,Monday,Jeddah,Lahore,International,Boeing 777,330,291,350,83.14,1237,359967,87,,Moderate,Delayed,Rain,18850,47125,4.4,Average flight
PK2026_0005,04-05-2026,May,Monday,Lahore,Doha,International,Boeing 737,283,159,160,99.38,141,22419,82,,Moderate,Delayed,Fog,13474,33685,3,Delayed but comfortable
PK2026_0006,12-01-2026,January,Monday,Lahore,Dubai,International,Airbus A320,433,172,180,95.56,911,156692,192,,Severe,Delayed,Clear,5207,13017.5,4.1,Average flight
PK2026_0007,01-08-2026,August,Saturday,Jeddah,Dubai,International,Boeing 737,198,158,160,98.75,1398,220884,163,,Severe,Delayed,Rain,9342,23355,4.2,Good experience
PK2026_0008,11-09-2026,September,Friday,Doha,London,International,Boeing 777,112,299,350,85.43,1069,319631,133,,Severe,Delayed,Rain,3070,7675,4.9,Excellent service
PK2026_0009,25-11-2026,November,Wednesday,Lahore,London,International,Boeing 737,468,83,160,51.88,573,47559,119,,Moderate,Delayed,Fog,4465,11162.5,3.2,Excellent service
PK2026_0010,15-07-2026,July,Wednesday,Islamabad,Dubai,International,ATR 72,420,56,70,80,1494,83664,64,,Moderate,Delayed,Clear,14649,36622.5,3.1,Very smooth journey
PK2026_0011,24-03-2026,March,Tuesday,Dubai,Islamabad,International,Airbus A320,191,177,180,98.33,862,152574,196,,Severe,Delayed,Storm,4444,11110,3,Very smooth journey
